;1;2;3;4;5;6;7;8;Summarized;Solo1;Solo2
OverAll_CB;63104;55688;98703;65153;48413;42845;64496;47000;;55501;37628
knee_point;921;798;2287;2401;511;439;1601;1513;;4898;3265
inflection_point;409;395;1308;1143;325;231;646;325;;843;512
max_UMI_perCB;6487;4585;47327;19495;3651;2338;21932;11000;;;
mean_UMI;97;87;145;104;71;57;108;71;;;
mean_UMI(filt_by_BR);1418;1280;5416;3595;764;649;2561;1651;;;
 >  100 UMI;8486;6792;15813;9413;6197;4114;9069;3980;63864;;
ED_yes (>100 UMIs in all);6079;4673;12540;7207;4413;2812;7302;2153;47179;;
% EDyes/all > 100 UMIs;0,716356352;0,688015312;0,793018403;0,765643259;0,712118767;0,683519689;0,805160437;0,540954774;0,738741701;;
filtered_by_BR(inflection);3168;2641;1849;1186;3047;2477;1894;1299;17561;888;667
BR_yes_ED_yes >inflection;2737;2265;1848;1146;2484;2037;1644;610;14771;768;397
BR_yes_ED_no >inflection;431;376;1;40;563;440;250;689;2790;120;270
%ED_yes/all > inflection;0,86395202;0,857629686;0,999459167;0,966273187;0,815228093;0,822365765;0,868004224;0,469591994;0,841125221;;
;;;;;;;;;;;
ED_yes nUMI ? (inflection, knee);176;68;267;326;23;13;375;4;1252;;
ED_no nUMI ? (inflection, knee);431;376;1;40;563;440;250;689;2 790;;
all in (inflection, knee);607;444;268;366;586;453;625;693;4 042;;
% EDyes/all (inflection, knee);0,290;0,153;0,996;0,891;0,039;0,029;0,600;0,006;0,310;;
;;;;;;;;;;;
ED_yes, nUMI ? (100, inflection);3342;2408;10692;6061;1929;775;5658;1543;32408;;
ED_no nUMI ? (100, inflection);1976;1743;3272;2166;1221;862;1517;1138;13895;;
all in (100, inflection);5318;4151;13964;8227;3150;1637;7175;2681;46303;;
%ED_yes/all(100, inflection);0,628431741;0,58010118;0,765683185;0,736720554;0,612380952;0,473427001;0,788571429;0,575531518;0,699911453;;
ED_yes nUMI  > knee;2561;2197;1581;820;2461;2024;1269;606;13519;;
